method,tracer,oxygen,treatment,metabolite,time,isotope,mean,se
sim,glc6,21%,BAY,PYR,24,M3,0.3548789942108355,0.018567884610227552
sim,glc6,21%,BAY,PYR,48,M0,0.49117144422219694,0.013689519676602788
sim,glc6,21%,BAY,PYR,48,M1,0.002262929447826124,1.8714462442118857e-5
sim,glc6,21%,BAY,PYR,48,M2,0.018060537747250523,2.7532022111503157e-4
sim,glc6,21%,BAY,PYR,48,M3,0.4781056198498561,0.0049286877983993884
sim,glc6,21%,BAY,PYR,72,M0,0.4142682827827726,0.006087454788717583
sim,glc6,21%,BAY,PYR,72,M1,0.0016909775652675563,8.401972593295986e-5
sim,glc6,21%,BAY,PYR,72,M2,0.017786517649109743,0.0020783433073625467
sim,glc6,21%,BAY,PYR,72,M3,0.5660547257743891,0.0028300676277535635
sim,glc6,0.5%,None,PYR,24,M0,0.7725015901182758,0.0048906354240879635
sim,glc6,0.5%,None,PYR,24,M1,0.0020837749461478515,4.2447692533049817e-4
sim,glc6,0.5%,None,PYR,24,M2,0.006899700613626723,8.866379808250384e-5
sim,glc6,0.5%,None,PYR,24,M3,0.2189964430565683,0.005254381914205921
sim,glc6,0.5%,None,PYR,48,M0,0.5342122806995863,0.024077982272089203
sim,glc6,0.5%,None,PYR,48,M1,0.002115603018482279,4.768112419541604e-6
sim,glc6,0.5%,None,PYR,48,M2,0.014635385675351888,0.0010292377265704352
sim,glc6,0.5%,None,PYR,48,M3,0.47148650944730697,0.009851197956985303
sim,glc6,0.5%,None,PYR,72,M0,0.39470450045906935,0.012842760087856037
sim,glc6,0.5%,None,PYR,72,M1,0.0023292265167380475,4.7562900932237785e-5
sim,glc6,0.5%,None,PYR,72,M2,0.02025878004475492,1.805199626050153e-4
sim,glc6,0.5%,None,PYR,72,M3,0.5831347932407432,0.01254841688822339
sim,lac3,21%,None,PYR,24,M0,0.716491026938843,0.010812769010626111
sim,lac3,21%,None,PYR,24,M1,0.0010722479602531725,3.190798812269614e-4
sim,lac3,21%,None,PYR,24,M2,0.00527141596683112,0.001050476732478606
sim,lac3,21%,None,PYR,24,M3,0.27621078003742877,0.01087572383994706
